time,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,torq_0,torq_1,torq_2,torq_3,torq_4,torq_5
14:55:59.921350,-1.1472602254104953e-10,0.643986028430632,-0.0026201389265701953,-3.1400135846555295,0.9348716684292349,0.00157850184907586,-1.6205062992131112e-10,1.4639119363682451e-05,9.164005829176425e-07,5.570652114203175e-10,6.176857717338224e-06,-2.5831763540950766e-09,2.5570892355024096e-08,-48.749104824723446,-40.09843550895836,8.484271544748907e-08,0.00044650245713847745,-3.8885697755790685e-10
14:55:59.926211,-1.1532727571882441e-10,0.6439860831595348,-0.002620135612485814,-3.1400135846533805,0.9348716913525101,0.00157850183966609,-1.4430076266597177e-10,1.3134936662426155e-05,7.953802515260622e-07,5.157484682993059e-10,5.501586074645182e-06,-2.2583447560265064e-09,2.270246601451241e-08,-48.74911132404041,-40.09840204629864,8.47832559133275e-08,0.00044664825518751376,-2.9006238964635695e-10
14:55:59.931418,-1.1586166534885405e-10,0.6439861317425161,-0.002620132739752599,-3.140013584651448,0.9348717115722045,0.0015785018316891246,-1.2825351120711208e-10,1.1659915506199298e-05,6.894559716041221e-07,4.638610655285024e-10,4.852726640334343e-06,-1.914471681364752e-09,2.0220458981878685e-08,-48.74905605514453,-40.098312961067705,8.480509744620128e-08,0.0004469314419080957,-2.1333361978538315e-10
14:55:59.936672,-1.163372794654621e-10,0.6439861743993971,-0.0026201302519720973,-3.1400135846497736,0.9348717292317896,0.0015785018251562861,-1.1414738798593041e-10,1.023765144314917e-05,5.970673203677807e-07,4.0180966767470127e-10,4.238300421462171e-06,-1.567881234260484e-09,1.7304906165588163e-08,-48.74895193046812,-40.09818066725748,8.487509319832824e-08,0.0004473235862919189,-1.545663188598994e-10
14:55:59.941883,-1.167586114260056e-10,0.6439862114246819,-0.0026201280988035506,-3.140013584648359,0.9348717444898772,0.0015785018200480296,-1.011196705304355e-10,8.886068361205202e-06,5.167604511975565e-07,3.395961287615864e-10,3.6619410129015706e-06,-1.2259815681297712e-09,1.601827967046125e-08,-48.74881046279491,-40.0980161351776,8.500996897525389e-08,0.0004477899449128238,-1.1233333097702387e-10
14:55:59.947192,-1.1713274894437814e-10,0.6439862431675101,-0.002620126235681547,-3.1400135846472352,0.9348717575283576,0.0015785018162838347,-8.979300440941497e-11,7.618278764231351e-06,4.471492808088423e-07,2.6963432645961123e-10,3.1292352999819084e-06,-9.034067832667538e-10,1.3551383028067535e-08,-48.748641492618034,-40.09782869038688,8.514836406456212e-08,0.00044831688207391877,-8.096472757168959e-11
14:55:59.952382,-1.1746445612697095e-10,0.6439862700135786,-0.002620124622862115,-3.1400135846463866,0.9348717685298205,0.0015785018137811462,-7.960972382227328e-11,6.443056446540224e-06,3.8707666374926397e-07,2.0372642598788255e-10,2.640351071142577e-06,-6.006452509167313e-10,1.2115621770298038e-08,-48.74845366969142,-40.09762641142263,8.53386264499371e-08,0.00044887286167271035,-6.132279856113257e-11
14:55:59.957559,-1.177581121815334e-10,0.6439862923705044,-0.0026201232251326523,-3.1400135846457853,0.9348717776790358,0.0015785018124475044,-7.0477453094993e-11,5.3656622156714184e-06,3.3545507102140937e-07,1.4431645298690647e-10,2.1958116817807904e-06,-3.200740022823263e-10,1.083197140510084e-08,-48.74825425214373,-40.09741606728553,8.554445426792947e-08,0.00044944504968097535,-4.739988410978478e-11
14:55:59.962690,-1.180192025668422e-10,0.6439863106561523,-0.0026201220119430203,-3.1400135846454362,0.9348717851666097,0.001578501812152383,-6.26616924741106e-11,4.388555488558932e-06,2.911655117062567e-07,8.379751206084515e-11,1.7970177413999255e-06,-7.082909810691897e-11,9.009786636686136e-09,-48.748049240039194,-40.097203246537106,8.573334294568964e-08,0.00045002441015025955,-3.996419669599003e-11
14:55:59.967493,-1.1824959231984027e-10,0.6439863252881537,-0.0026201209568115467,-3.1400135846453083,0.9348717911719715,0.0015785018127752158,-5.5293540719536057e-11,3.5116803387413853e-06,2.5323155359961713e-07,3.0719087555408685e-11,1.4412868256270805e-06,1.4947983674554752e-10,8.788833743795132e-09,-48.74784376178325,-40.09699261922155,8.594753614168964e-08,0.00045059009413058083,-3.933280411704476e-11
